data,time
0,00:00:00
0,00:05:00
0,00:10:00
0,00:15:00
0,00:20:00
0,00:25:00
0,00:30:00
0,00:35:00
0,00:40:00
0,00:45:00
0,00:50:00
0,00:55:00
0,01:00:00
0,01:05:00
0,01:10:00
0,01:15:00
0,01:20:00
0,01:25:00
0,01:30:00
0,01:35:00
0,01:40:00
0,01:45:00
0,01:50:00
0,01:55:00
0,02:00:00
0,02:05:00
0,02:10:00
0,02:15:00
0,02:20:00
0,02:25:00
0,02:30:00
0,02:35:00
0,02:40:00
0,02:45:00
0,02:50:00
0,02:55:00
0,03:00:00
0,03:05:00
0,03:10:00
0,03:15:00
0,03:20:00
0,03:25:00
0,03:30:00
0,03:35:00
0,03:40:00
0,03:45:00
0,03:50:00
0,03:55:00
0,04:00:00
0,04:05:00
0,04:10:00
0,04:15:00
0,04:20:00
0,04:25:00
0,04:30:00
0,04:35:00
0,04:40:00
3,04:45:00
20,04:50:00
47,04:55:00
83,05:00:00
130,05:05:00
184,05:10:00
246,05:15:00
316,05:20:00
369,05:25:00
397,05:30:00
424,05:35:00
450,05:40:00
475,05:45:00
498,05:50:00
519,05:55:00
540,06:00:00
559,06:05:00
578,06:10:00
595,06:15:00
611,06:20:00
627,06:25:00
642,06:30:00
655,06:35:00
668,06:40:00
679,06:45:00
691,06:50:00
701,06:55:00
711,07:00:00
721,07:05:00
730,07:10:00
739,07:15:00
748,07:20:00
756,07:25:00
764,07:30:00
771,07:35:00
778,07:40:00
785,07:45:00
792,07:50:00
798,07:55:00
804,08:00:00
810,08:05:00
815,08:10:00
821,08:15:00
826,08:20:00
831,08:25:00
836,08:30:00
840,08:35:00
844,08:40:00
849,08:45:00
853,08:50:00
857,08:55:00
860,09:00:00
864,09:05:00
867,09:10:00
871,09:15:00
874,09:20:00
877,09:25:00
880,09:30:00
883,09:35:00
886,09:40:00
889,09:45:00
891,09:50:00
894,09:55:00
896,10:00:00
898,10:05:00
900,10:10:00
902,10:15:00
904,10:20:00
905,10:25:00
907,10:30:00
909,10:35:00
910,10:40:00
911,10:45:00
913,10:50:00
914,10:55:00
915,11:00:00
916,11:05:00
917,11:10:00
918,11:15:00
919,11:20:00
919,11:25:00
920,11:30:00
920,11:35:00
920,11:40:00
920,11:45:00
920,11:50:00
920,11:55:00
920,12:00:00
919,12:05:00
919,12:10:00
918,12:15:00
918,12:20:00
917,12:25:00
917,12:30:00
916,12:35:00
916,12:40:00
916,12:45:00
915,12:50:00
915,12:55:00
914,13:00:00
914,13:05:00
913,13:10:00
912,13:15:00
911,13:20:00
911,13:25:00
910,13:30:00
909,13:35:00
908,13:40:00
906,13:45:00
905,13:50:00
904,13:55:00
902,14:00:00
901,14:05:00
899,14:10:00
898,14:15:00
896,14:20:00
894,14:25:00
892,14:30:00
890,14:35:00
888,14:40:00
886,14:45:00
883,14:50:00
881,14:55:00
878,15:00:00
876,15:05:00
873,15:10:00
870,15:15:00
867,15:20:00
864,15:25:00
861,15:30:00
857,15:35:00
854,15:40:00
850,15:45:00
847,15:50:00
843,15:55:00
839,16:00:00
834,16:05:00
830,16:10:00
826,16:15:00
821,16:20:00
816,16:25:00
811,16:30:00
806,16:35:00
800,16:40:00
795,16:45:00
789,16:50:00
783,16:55:00
776,17:00:00
769,17:05:00
762,17:10:00
755,17:15:00
748,17:20:00
740,17:25:00
731,17:30:00
723,17:35:00
714,17:40:00
704,17:45:00
694,17:50:00
684,17:55:00
673,18:00:00
662,18:05:00
650,18:10:00
637,18:15:00
624,18:20:00
610,18:25:00
595,18:30:00
579,18:35:00
562,18:40:00
543,18:45:00
524,18:50:00
503,18:55:00
481,19:00:00
458,19:05:00
433,19:10:00
407,19:15:00
380,19:20:00
350,19:25:00
293,19:30:00
226,19:35:00
167,19:40:00
116,19:45:00
73,19:50:00
6,19:55:00
0,20:00:00
0,20:05:00
0,20:10:00
0,20:15:00
0,20:20:00
0,20:25:00
0,20:30:00
0,20:35:00
0,20:40:00
0,20:45:00
0,20:50:00
0,20:55:00
0,21:00:00
0,21:05:00
0,21:10:00
0,21:15:00
0,21:20:00
0,21:25:00
0,21:30:00
0,21:35:00
0,21:40:00
0,21:45:00
0,21:50:00
0,21:55:00
0,22:00:00
0,22:05:00
0,22:10:00
0,22:15:00
0,22:20:00
0,22:25:00
0,22:30:00
0,22:35:00
0,22:40:00
0,22:45:00
0,22:50:00
0,22:55:00
0,23:00:00
0,23:05:00
0,23:10:00
0,23:15:00
0,23:20:00
0,23:25:00
0,23:30:00
0,23:35:00
0,23:40:00
0,23:45:00
0,23:50:00
0,23:55:00
