time,data
00:00:00,94
00:30:00,95
01:00:00,92
01:30:00,95
02:00:00,95
02:30:00,93
03:00:00,93
03:30:00,94
04:00:00,97
04:30:00,98
05:00:00,105
05:30:00,127
06:00:00,132
06:30:00,128
07:00:00,129
07:30:00,123
08:00:00,125
08:30:00,129
09:00:00,130
09:30:00,130
10:00:00,134
10:30:00,131
11:00:00,133
11:30:00,130
12:00:00,131
12:30:00,143
13:00:00,148
13:30:00,153
14:00:00,164
14:30:00,179
15:00:00,190
15:30:00,191
16:00:00,201
16:30:00,207
17:00:00,212
17:30:00,215
18:00:00,218
18:30:00,214
19:00:00,215
19:30:00,218
20:00:00,213
20:30:00,219
21:00:00,213
21:30:00,190
22:00:00,165
22:30:00,146
23:00:00,130
23:30:00,132
