data,time
0.21,00:00:00
0.22,00:15:00
0.19,00:30:00
0.22,00:45:00
0.2,01:00:00
0.22,01:15:00
0.21,01:30:00
0.24,01:45:00
0.21,02:00:00
0.22,02:15:00
0.18,02:30:00
0.24,02:45:00
0.18,03:00:00
0.21,03:15:00
0.18,03:30:00
0.2,03:45:00
0.17,04:00:00
0.17,04:15:00
0.2,04:30:00
0.17,04:45:00
0.16,05:00:00
0.19,05:15:00
0.16,05:30:00
0.16,05:45:00
0.19,06:00:00
0.18,06:15:00
0.18,06:30:00
0.16,06:45:00
0.21,07:00:00
0.16,07:15:00
0.17,07:30:00
1.68,07:45:00
11.78,08:00:00
30.82,08:15:00
49.85,08:30:00
71.79,08:45:00
79.22,09:00:00
98.62,09:15:00
113.85,09:30:00
143.06,09:45:00
159.59,10:00:00
188.78,10:15:00
218.85,10:30:00
241.49,10:45:00
252.35,11:00:00
273.35,11:15:00
272.63,11:30:00
279.03,11:45:00
284.24,12:00:00
290.53,12:15:00
293.03,12:30:00
276.67,12:45:00
279.28,13:00:00
273.58,13:15:00
254.05,13:30:00
232.78,13:45:00
202.47,14:00:00
188.67,14:15:00
185.43,14:30:00
181.26,14:45:00
114.59,15:00:00
98.59,15:15:00
82.72,15:30:00
57.24,15:45:00
47.3,16:00:00
35.94,16:15:00
45.08,16:30:00
25.24,16:45:00
13.9,17:00:00
13.28,17:15:00
11.92,17:30:00
8.39,17:45:00
5.6,18:00:00
2.71,18:15:00
1.25,18:30:00
1.23,18:45:00
1.22,19:00:00
1.22,19:15:00
0.21,19:30:00
0.18,19:45:00
0.28,20:00:00
0.19,20:15:00
0.21,20:30:00
0.21,20:45:00
0.21,21:00:00
0.18,21:15:00
0.2,21:30:00
0.19,21:45:00
0.22,22:00:00
0.19,22:15:00
0.21,22:30:00
0.21,22:45:00
0.2,23:00:00
0.22,23:15:00
0.19,23:30:00
0.22,23:45:00
